Sample_name,Input,Sequence_pairs_analyzed,Mapping_efficency,Unique CpGs covered,methylation_CpG,methylation_CHG,methylation_CHH
0021,25,30049263,55.90%,8515766,44.6,0.2,0.2
0021,50,27708942,60.60%,8659279,45,0.1,0.1
0021,100,41078563,67.70%,9272395,45,0.1,0.1
0021,200,28311668,74.30%,8704554,45.2,0.2,0.1
0021,400,32879924,77.70%,8843462,45,0.3,0.2
0086,25,29111764,48.50%,8296063,46.7,0.2,0.2
0086,50,33416461,53.80%,8684265,46.8,0.1,0.1
0086,100,33233017,64.60%,8813320,46.5,0.1,0.1
0086,200,37849317,71.40%,9088174,46.6,0.2,0.1
0086,400,35957252,72.30%,9054340,46.6,0.3,0.2
0183,25,22640976,57.80%,8024813,42.1,0.2,0.2
0183,50,21678326,65.50%,8085800,42.7,0.1,0.1
0183,100,20728923,73.40%,7996196,42.7,0.1,0.1
0183,200,19053270,73.70%,7771782,42.2,0.2,0.1
0183,400,19108613,75.40%,7694454,42.6,0.3,0.2
