Sample_name,Plexing,Input,Sequence_pairs_analyzed,Mapping_efficency,unique_cpg,methylation_CpG,methylation_CHG,methylation_CHH
0022,12,100ng,92314511,74.20%,13135091,46.60%,0.10%,0.10%
0024,12,100ng,91538550,55.80%,10667157,47.10%,0.10%,0.10%
0034,12,100ng,104172158,71.20%,12291106,46.70%,0.10%,0.10%
0036,12,100ng,74158915,61.80%,10457394,46.80%,0.10%,0.10%
0038,12,100ng,65267141,81.00%,11652812,46.10%,0.10%,0.10%
0043,12,100ng,97527753,77.30%,15641081,46.50%,0.10%,0.10%
0044,12,100ng,101924350,69.30%,12992433,46.50%,0.10%,0.10%
0059,12,100ng,101331406,76.30%,13179244,44.70%,0.10%,0.10%
0060,12,100ng,74741953,76.40%,13450688,46.00%,0.10%,0.10%
0061,12,100ng,93452111,69.90%,17249900,46.80%,0.10%,0.10%
0068,12,100ng,85555167,79.50%,11008058,46.30%,0.20%,0.10%
0193,12,100ng,95167787,69.90%,12482055,40.70%,0.10%,0.10%
0004,24,100ng,14744700,73.50%,7751454,46.50%,0.10%,0.10%
0009,24,100ng,25714875,74.60%,8674449,46.70%,0.20%,0.10%
0010,24,100ng,25717414,74.80%,8904234,47.00%,0.10%,0.10%
0016,24,100ng,23459336,72.90%,8599333,46.00%,0.10%,0.10%
0017,24,100ng,19421619,63.40%,8276932,46.00%,0.10%,0.10%
0030,24,100ng,29155563,74.60%,8822045,46.30%,0.10%,0.10%
0032,24,100ng,23584201,70.50%,8965967,46.80%,0.10%,0.10%
0035,24,100ng,26341136,75.90%,10242727,42.80%,0.10%,0.10%
0040,24,100ng,17015941,77.20%,8057963,45.10%,0.20%,0.10%
0041,24,100ng,16758946,78.40%,8000739,45.40%,0.10%,0.10%
0045,24,100ng,27987154,75.70%,9407043,46.70%,0.10%,0.10%
0046,24,100ng,23396489,77.00%,8491296,46.00%,0.20%,0.10%
0050,24,100ng,21084133,75.40%,8594967,46.80%,0.10%,0.10%
0052,24,100ng,20098242,65.10%,8178186,47.80%,0.10%,0.10%
0056,24,100ng,23327402,72.70%,8958070,46.90%,0.10%,0.10%
0057,24,100ng,18207357,65.60%,7991576,47.50%,0.10%,0.10%
0058,24,100ng,31290421,72.20%,8895519,48.70%,0.10%,0.10%
0067,24,100ng,22447306,79.10%,8934885,46.70%,0.20%,0.10%
0070,24,100ng,25300809,72.70%,9007081,46.30%,0.10%,0.10%
0071,24,100ng,31540783,65.70%,10102771,47.30%,0.10%,0.10%
0083,24,100ng,24291528,74.20%,9233277,46.30%,0.10%,0.10%
0087,24,100ng,26544705,74.50%,8727769,45.10%,0.10%,0.10%
0095,24,100ng,22578888,74.60%,8476238,45.70%,0.20%,0.10%
0193,24,100ng,23757461,69.80%,8601519,41.10%,0.20%,0.10%
0002,48,100ng,18603228,75.00%,8117283,46.20%,0.10%,0.10%
0005,48,100ng,21017969,72.90%,8127893,45.60%,0.10%,0.10%
0006,48,100ng,18447208,68.80%,7971533,45.70%,0.10%,0.10%
0008,48,100ng,16687273,74.90%,8049571,46.70%,0.10%,0.10%
0012,48,100ng,19319504,74.00%,8053763,46.40%,0.10%,0.10%
0014,48,100ng,16797191,68.80%,8009235,47.30%,0.10%,0.10%
0018,48,100ng,18701948,72.10%,8013371,45.80%,0.10%,0.10%
0019,48,100ng,20391125,71.20%,8133591,45.50%,0.10%,0.10%
0020,48,100ng,19257450,73.30%,8336774,45.60%,0.10%,0.10%
0023,48,100ng,22235166,74.00%,8402807,46.50%,0.10%,0.10%
0025,48,100ng,15078884,68.60%,7654588,46.50%,0.10%,0.10%
0026,48,100ng,17327867,71.00%,8236741,45.50%,0.10%,0.10%
0027,48,100ng,18854759,67.40%,8045237,46.10%,0.10%,0.10%
0028,48,100ng,18930941,70.30%,8168411,46.60%,0.10%,0.10%
0029,48,100ng,19565843,67.00%,9274135,47.10%,0.10%,0.10%
0031,48,100ng,21709369,69.10%,8065230,45.70%,0.10%,0.10%
0033,48,100ng,29322093,64.80%,8447483,49.10%,0.10%,0.10%
0037,48,100ng,14446487,76.40%,7863380,46.20%,0.10%,0.10%
0039,48,100ng,16779202,75.50%,8273012,45.60%,0.10%,0.10%
0042,48,100ng,18816339,75.60%,8108486,46.50%,0.10%,0.10%
0047,48,100ng,19793464,76.10%,8248986,46.50%,0.10%,0.10%
0048,48,100ng,18922943,75.60%,8027816,44.80%,0.10%,0.10%
0049,48,100ng,15952456,74.50%,8226256,47.20%,0.10%,0.10%
0051,48,100ng,16917225,74.60%,7926914,47.40%,0.10%,0.10%
0053,48,100ng,17650672,74.90%,8040191,46.70%,0.10%,0.10%
0054,48,100ng,20088627,74.30%,8317557,45.90%,0.10%,0.10%
0055,48,100ng,24379322,74.80%,8430145,47.50%,0.10%,0.10%
0062,48,100ng,14572947,73.70%,7696563,45.70%,0.10%,0.10%
0069,48,100ng,18162249,73.30%,8010035,46.10%,0.10%,0.10%
0072,48,100ng,16576259,69.20%,8083624,46.60%,0.10%,0.10%
0073,48,100ng,13136085,74.10%,7620927,45.50%,0.10%,0.10%
0074,48,100ng,18630020,67.30%,7917839,47.00%,0.10%,0.10%
0075,48,100ng,17587835,74.00%,8032360,45.70%,0.10%,0.10%
0076,48,100ng,19650901,70.40%,8128016,45.00%,0.10%,0.10%
0077,48,100ng,18048471,70.70%,8854831,46.80%,0.10%,0.10%
0078,48,100ng,19400362,70.70%,7930768,46.80%,0.10%,0.10%
0080,48,100ng,21355902,73.30%,8149783,45.20%,0.10%,0.10%
0081,48,100ng,22146201,72.50%,8302557,45.90%,0.10%,0.10%
0082,48,100ng,17692977,73.70%,8184615,45.50%,0.10%,0.10%
