mapping_efficiency,CHH_meth,species
79.40%,0.30%,gelada
83.70%,0.30%,gelada
82.80%,0.30%,gelada
80.20%,0.30%,gelada
82.30%,0.30%,gelada
84.80%,0.30%,gelada
81.70%,0.30%,gelada
83.20%,0.30%,gelada
83.50%,0.30%,gelada
83.10%,0.30%,gelada
83.90%,0.30%,gelada
83.60%,0.30%,gelada
82.50%,0.30%,gelada
83.20%,0.30%,gelada
84.40%,0.30%,gelada
81.90%,0.30%,gelada
83.10%,0.30%,gelada
83.70%,0.30%,gelada
84.20%,0.30%,gelada
83.50%,0.30%,gelada
85.10%,0.30%,gelada
82.90%,0.30%,gelada
82.50%,0.30%,gelada
84.80%,0.30%,gelada
83.40%,0.30%,gelada
84.60%,0.30%,gelada
83.00%,0.30%,gelada
83.50%,0.30%,gelada
82.60%,0.30%,gelada
83.50%,0.30%,gelada
80.90%,0.30%,gelada
85.40%,0.30%,gelada
80.80%,0.30%,gelada
82.10%,0.30%,gelada
83.70%,0.30%,gelada
81.40%,0.30%,gelada
82.70%,0.30%,gelada
82.90%,0.30%,gelada
84.50%,0.30%,gelada
81.40%,0.30%,gelada
83.30%,0.30%,gelada
80.40%,0.30%,gelada
82.10%,0.30%,gelada
83.80%,0.30%,gelada
83.20%,0.30%,gelada
81.80%,0.30%,gelada
82.60%,0.30%,gelada
83.00%,0.30%,gelada
83.00%,0.30%,gelada
81.30%,0.30%,gelada
81.00%,0.30%,gelada
82.20%,0.30%,gelada
84.30%,0.30%,gelada
80.10%,0.30%,gelada
81.30%,0.30%,gelada
80.10%,0.30%,gelada
81.80%,0.30%,gelada
82.00%,0.30%,gelada
81.80%,0.30%,gelada
82.60%,0.30%,gelada
82.50%,0.30%,gelada
83.50%,0.30%,gelada
83.30%,0.30%,gelada
83.00%,0.30%,gelada
83.80%,0.30%,gelada
81.90%,0.30%,gelada
81.50%,0.30%,gelada
