mapping_efficiency,CHH_meth,species
53.10%,0.80%,macaque
56.20%,0.20%,macaque
71.90%,0.30%,macaque
65.20%,0.20%,macaque
73.40%,0.50%,macaque
87.60%,0.20%,macaque
81.40%,0.40%,macaque
77.70%,0.40%,macaque
82.80%,0.50%,macaque
68.40%,0.30%,macaque
73.70%,0.30%,macaque
86.80%,0.20%,macaque
86.60%,0.20%,macaque
86.60%,0.20%,macaque
81.00%,0.20%,macaque
53.70%,0.40%,macaque
86.10%,0.10%,macaque
87.00%,0.20%,macaque
83.70%,0.20%,macaque
87.00%,0.20%,macaque
87.20%,0.20%,macaque
84.00%,0.20%,macaque
87.80%,0.20%,macaque
86.90%,0.20%,macaque
86.40%,0.20%,macaque
87.00%,0.20%,macaque
86.10%,0.20%,macaque
86.70%,0.20%,macaque
86.60%,0.20%,macaque
86.40%,0.20%,macaque
86.30%,0.20%,macaque
87.80%,0.20%,macaque
88.10%,0.20%,macaque
87.10%,0.20%,macaque
87.70%,0.20%,macaque
88.30%,0.20%,macaque
85.80%,0.20%,macaque
87.30%,0.20%,macaque
86.50%,0.20%,macaque
86.90%,0.20%,macaque
86.80%,0.20%,macaque
86.50%,0.30%,macaque
86.90%,0.20%,macaque
86.80%,0.20%,macaque
88.20%,0.20%,macaque
86.90%,0.20%,macaque
86.60%,0.20%,macaque
87.90%,0.20%,macaque
84.30%,0.10%,macaque
86.00%,0.10%,macaque
84.50%,0.10%,macaque
87.50%,0.10%,macaque
87.80%,0.10%,macaque
86.90%,0.10%,macaque
87.50%,0.10%,macaque
85.80%,0.10%,macaque
86.40%,0.10%,macaque
86.10%,0.10%,macaque
86.70%,0.10%,macaque
85.90%,0.10%,macaque
37.70%,0.20%,macaque
84.70%,0.10%,macaque
87.10%,0.10%,macaque
85.90%,0.10%,macaque
36.90%,0.20%,macaque
46.80%,0.10%,macaque
81.50%,0.10%,macaque
82.40%,0.10%,macaque
85.30%,0.10%,macaque
59.70%,0.10%,macaque
71.70%,0.10%,macaque
73.10%,0.10%,macaque
87.10%,0.10%,macaque
82.50%,0.10%,macaque
83.70%,0.20%,macaque
88.00%,0.10%,macaque
72.80%,0.10%,macaque
85.70%,0.10%,macaque
88.00%,0.10%,macaque
86.20%,0.10%,macaque
68.80%,0.80%,macaque
87.60%,0.60%,macaque
85.90%,0.20%,macaque
86.60%,0.40%,macaque
84.90%,0.30%,macaque
85.80%,0.20%,macaque
87.10%,0.30%,macaque
84.40%,0.20%,macaque
88.70%,0.30%,macaque
88.90%,0.20%,macaque
86.60%,0.40%,macaque
76.80%,0.70%,macaque
78.10%,0.30%,macaque
87.40%,0.40%,macaque
46.70%,0.30%,macaque
84.10%,0.40%,macaque
